NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
San Bernardino city,209961,210182,211816,212969,213690,214200,215350,216018,216995
San Bruno city,41067,41115,41554,42164,42643,43059,43292,43241,43299
San Buenaventura (Ventura) city,107234,107476,108440,109236,109622,109869,110093,110404,110790
San Carlos city,28383,28430,28782,29184,29497,29806,29974,29963,30499
San Clemente city,63482,63603,64302,64727,64989,65123,65340,65411,65267
Sand City city,334,335,338,340,345,379,380,383,387
San Diego city,1301948,1306176,1320638,1338975,1358207,1379123,1391040,1406682,1419516
San Dimas city,33375,33386,33543,33710,33836,34434,34471,34384,34326
San Fernando city,23646,23656,23774,23834,24162,24485,24812,24750,24714
San Francisco city,805193,805770,816294,830406,841270,853258,866320,876103,884363
San Gabriel city,39647,39661,39857,40037,40150,40193,40250,40470,40514
Sanger city,24258,24299,24466,24549,24632,24724,24870,25007,25161
San Jacinto city,44199,44410,44977,45418,45909,46333,46762,47442,48254
San Joaquin city,3994,3996,4002,4009,4015,4015,4025,4031,4043
San Jose city,952574,955255,971352,985722,1003735,1016708,1027560,1031942,1035317
San Juan Bautista city,1851,1859,1871,1890,1909,1919,1939,1967,1976
San Juan Capistrano city,34427,34492,34900,35173,35618,35890,36061,36081,36064
San Leandro city,84952,85118,85970,87115,88237,89386,90663,90807,90553
San Luis Obispo city,45164,45204,45408,45811,46332,46573,47115,47438,47541
San Marcos city,83657,83972,85109,87012,89658,92665,93537,95346,96198
San Marino city,13107,13110,13173,13228,13278,13315,13367,13356,13327
San Mateo city,97207,97425,98622,100023,101565,102973,103754,104603,104748
San Pablo city,29512,29485,29544,29845,30140,30430,30784,31061,31156
San Rafael city,57694,57803,58261,58522,59096,59275,59252,59131,59070
San Ramon city,71423,71614,72236,72967,73701,74484,75260,75810,75931
Santa Ana city,324796,325427,328571,331222,334538,334398,334472,334953,334136
Santa Barbara city,88375,88486,88730,89520,90369,91144,91622,91916,92101
Santa Clara city,116497,116838,117994,119646,120822,122304,126274,126697,127134
Santa Clarita city,204186,204299,205557,206703,207600,208740,209848,210349,210888
Santa Cruz city,59945,60591,61480,62040,62846,63299,64238,64545,65021
Santa Fe Springs city,16221,16262,16514,16751,17030,17417,17936,18039,17980
Santa Maria city,99595,99714,100440,101393,102392,103404,104876,106302,107014
Santa Monica city,89742,89782,90578,91532,92305,92404,92787,92603,92306
Santa Paula city,29270,29335,29789,29979,30170,30435,30442,30368,30313
Santa Rosa city,167824,168062,169205,170205,171875,173842,174873,175320,175269
Santee city,53416,53647,54566,55475,56267,56970,57635,57876,58113
Saratoga city,30004,30096,30392,30759,31040,31086,31028,30997,30905
Sausalito city,6952,6959,7021,7056,7127,7177,7179,7162,7141
Scotts Valley city,11574,11584,11633,11675,11772,11864,11948,11952,11945
Seal Beach city,24077,24116,24347,24507,24599,24581,24556,24492,24326
Seaside city,33025,33103,33389,33840,34070,34105,34441,34402,34150
Sebastopol city,7392,7401,7471,7523,7594,7646,7674,7686,7666
Selma city,23365,23450,23580,23919,24305,24379,24497,24739,24782
Shafter city,17112,17173,17467,17233,17325,17677,18446,19086,19608
Shasta Lake city,10164,10146,10099,10097,10109,10115,10098,10113,10190
Sierra Madre city,10917,10920,10972,11020,11059,11094,11112,11074,11038
Signal Hill city,11016,11019,11069,11165,11317,11457,11509,11657,11622
Simi Valley city,124243,124495,125156,125524,126179,126611,126589,126518,126878
Solana Beach city,12867,12900,13024,13139,13248,13317,13413,13446,13444
Soledad city,25738,26032,26416,26503,25829,25314,24968,25672,26273
Solvang city,5223,5233,5262,5316,5369,5485,5702,5776,5909
Sonoma city,10652,10665,10711,10816,10887,10987,11034,11073,11108
Sonora city,4904,4898,4867,4818,4815,4805,4808,4820,4857
South El Monte city,20116,20125,20230,20323,20409,20429,20778,20917,20987
South Gate city,94417,94463,94702,94797,94941,95072,95983,95692,95430
South Lake Tahoe city,21402,21417,21385,21307,21379,21542,21758,21797,21978
South Pasadena city,25627,25636,25752,25879,25967,26009,26038,25967,25888
South San Francisco city,63654,63752,64542,65742,66421,67021,67406,67397,67429
Stanton city,37827,37909,38266,38446,38635,38601,38762,38741,38528
Stockton city,291726,292497,295208,297162,297743,301373,304723,307270,310496
Suisun City city,28095,28142,28325,28542,28755,29168,29391,29496,29639
Sunnyvale city,140060,140502,143944,146757,148411,150120,151855,153797,153656
Susanville city,17943,17724,17270,16603,15518,15525,15256,14863,15326
Sutter Creek city,2521,2517,2499,2476,2469,2480,2500,2532,2575
Taft city,9288,9285,9290,8933,8939,8906,9489,9385,9425
Tehachapi city,14420,14368,14342,13841,13313,13259,13045,12518,12630
Tehama city,418,418,416,417,414,414,415,418,422
Temecula city,100048,100755,102746,104470,106289,108926,111418,112673,114327
Temple City city,35550,35561,35757,35934,36003,36039,36194,36412,36367
Thousand Oaks city,126480,126754,127452,127898,128528,129004,129098,129038,128995
Tiburon town,8947,8959,9038,9085,9178,9216,9215,9191,9165
Torrance city,145259,145300,146038,146693,147185,147450,147630,147187,146758
Tracy city,83353,83569,84319,84824,85006,85864,87064,89290,90889
Trinidad city,367,367,366,361,359,357,356,359,360
Truckee town,16164,16168,16153,16089,16093,16243,16271,16370,16553
Tulare city,59312,59463,59883,60781,61102,61662,62153,62808,63855
Tulelake city,1010,1012,1005,995,988,987,991,989,994
Turlock city,68619,68768,69217,69748,70319,70970,71909,72751,73556
Tustin city,75316,75491,76301,77730,78314,80377,80352,80540,80498
Twentynine Palms city,25048,25104,25381,25642,25724,25805,25928,25993,26542
Ukiah city,16086,16030,15929,15929,15875,15899,15872,15886,16036
Union City city,69516,69631,70643,71762,72694,73642,74445,75558,75343
Upland city,73713,73893,74517,75038,75328,75710,76159,76552,76999
Vacaville city,92422,92582,93290,93781,94170,95605,96512,98313,100032
Vallejo city,115943,116196,116827,117799,118789,119913,120887,121376,122105
Vernon city,112,112,113,113,113,113,114,113,113
Victorville city,115921,116322,118009,120040,120968,121418,121817,122096,122441
Villa Park city,5822,5831,5888,5925,5955,5951,5948,5928,5895
Visalia city,124452,124816,125726,126629,127590,128805,129735,131096,133010
Vista city,93501,93734,94756,95798,96731,97562,100236,101420,101568
Walnut city,29177,29211,29504,29910,30003,30044,30106,30061,30199
Walnut Creek city,64165,64338,64880,65630,66933,67635,68853,69332,69773
Wasco city,25552,25689,25864,25510,25960,26264,26246,26418,26994
Waterford city,8456,8465,8500,8551,8593,8699,8771,8856,8947
Watsonville city,51204,51279,51626,51960,52509,53073,53664,53910,54098
Weed city,2967,2982,2981,2938,2883,2714,2547,2651,2716
West Covina city,106113,106156,106843,107329,107653,107824,107969,107935,107598
West Hollywood city,34398,34415,34587,34756,35246,35646,36047,36735,37080
Westlake Village city,8303,8307,8357,8420,8466,8479,8490,8464,8440
Westminster city,89613,89789,90792,91397,91832,91806,91856,91809,91564
Westmorland city,2230,2235,2258,2264,2267,2272,2269,2277,2284
West Sacramento city,48744,48853,49143,49616,50080,51779,52564,53059,53512
Wheatland city,3504,3514,3519,3527,3510,3512,3735,3773,3842
Whittier city,85313,85339,85723,86157,86561,86774,87040,86989,86838
Wildomar city,32220,32434,32952,33308,33745,35248,35477,36103,36932
Williams city,5123,5140,5143,5148,5171,5147,5159,5207,5349
Willits city,4877,4874,4834,4831,4817,4824,4830,4854,4875
Willows city,6166,6152,6146,6093,6079,6082,6032,6047,6041
Windsor town,26795,26819,26909,27036,27216,27343,27450,27580,27548
Winters city,6624,6622,6837,6879,6909,6937,7018,7152,7273
Woodlake city,7279,7302,7320,7355,7605,7635,7634,7629,7649
Woodland city,55476,55547,55744,56281,56732,57376,58404,59102,60012
Woodside town,5283,5292,5357,5422,5482,5534,5567,5581,5564
Yorba Linda city,64169,64407,65679,66419,66972,67565,67755,68296,68229
Yountville city,2933,2947,2973,2958,2963,2990,2992,3002,2924
Yreka city,7765,7792,7745,7649,7551,7545,7558,7570,7600
Yuba City city,65634,65650,65419,65382,65667,65888,66290,66429,66860
Yucaipa city,51371,51508,52020,52384,52676,52882,53146,53343,53683
Yucca Valley town,20700,20747,20928,21067,21130,21397,21525,21629,21748
Alameda County,1510261,1513402,1532215,1556648,1582936,1611572,1637141,1653236,1663190
Alameda city,73812,73968,74750,75775,76640,77688,78583,79199,79177
Albany city,18541,18570,18763,19020,19255,19509,19722,19767,20143
Berkeley city,112487,112893,114034,115476,117141,118925,120905,121672,122324
Dublin city,46036,45910,46838,48784,52131,54673,57635,59682,60939
Emeryville city,10100,10116,10219,10366,10889,11325,11772,11794,11758
Fremont city,214079,214619,217580,221847,225282,228820,232061,233801,234962
Hayward city,144348,144796,146977,149596,151985,154646,158153,159445,160500
Livermore city,81397,81593,82635,83970,85613,87201,88374,89682,90295
Newark city,42573,42640,43056,43615,44174,44748,45310,45941,47531
Oakland city,390822,391571,396480,401906,407567,413933,418929,421566,425195
Piedmont city,10686,10706,10816,10958,11100,11246,11370,11407,11378
Pleasanton city,70273,70393,71190,72227,74179,77635,79391,82467,83007
San Leandro city,84952,85118,85970,87115,88237,89386,90663,90807,90553
Union City city,69516,69631,70643,71762,72694,73642,74445,75558,75343
Balance of Alameda County,140639,140878,142264,144231,146049,148195,149828,150448,150085
Alpine County,1175,1161,1093,1110,1127,1084,1088,1057,1120
Amador County,38091,37884,37539,37112,36635,36748,37047,37473,38626
Amador City city,182,182,182,181,180,182,186,188,190
Ione city,7913,7745,7560,7319,6964,6975,6999,7034,7827
Jackson city,4672,4658,4622,4606,4596,4610,4659,4696,4740
Plymouth city,987,985,977,970,966,964,972,984,993
Sutter Creek city,2521,2517,2499,2476,2469,2480,2500,2532,2575
Balance of Amador County,21816,21797,21699,21560,21460,21537,21731,22039,22301
Butte County,220002,219957,220003,220969,221768,223629,224818,226525,229294
Biggs city,1705,1706,1693,1691,1691,1693,1692,1698,1711
Chico city,86730,86716,87212,87896,88358,89493,90414,91658,93293
Gridley city,6587,6581,6554,6555,6555,6579,6575,6583,6608
Oroville city,18696,18674,18585,18616,18712,18914,18938,18989,19121
Paradise town,26199,26177,26067,26160,26242,26351,26387,26503,26682
Balance of Butte County,80085,80103,79892,80051,80210,80599,80812,81094,81879
Calaveras County,45578,45470,45163,44826,44667,44677,44954,45315,45670
Angels city,3810,3801,3770,3743,3729,3730,3750,3775,3807
Balance of Calaveras County,41768,41669,41393,41083,40938,40947,41204,41540,41863
Colusa County,21419,21453,21366,21350,21336,21268,21341,21645,21805
Colusa city,5971,5979,5948,5958,5945,5905,5892,5951,5963
Williams city,5123,5140,5143,5148,5171,5147,5159,5207,5349
Balance of Colusa County,10325,10334,10275,10244,10220,10216,10290,10487,10493
Contra Costa County,1049200,1052799,1066182,1079093,1095310,1110971,1126027,1138645,1147439
Antioch city,102745,103106,104266,105714,107538,109278,110464,111224,111674
Brentwood city,51624,51823,52753,53592,55021,56978,58905,60688,62433
Clayton city,10918,10961,11156,11288,11501,11689,11857,12022,12150
Concord city,122154,122521,123588,124840,126088,127346,128464,129172,129783
Danville town,41849,41981,42392,42846,43321,43883,44360,44756,44786
El Cerrito city,23586,23651,23863,24110,24367,24599,24939,25494,25515
Hercules city,24089,24153,24363,24606,24848,25086,25304,25444,25545
Lafayette city,23794,23882,24308,24609,25071,25474,25832,26191,26440
Martinez city,36036,36171,36533,36883,37193,37549,38108,38272,38373
Moraga town,16006,16061,16319,16497,16780,17021,17243,17463,17630
Oakley city,35432,35684,36631,37243,38222,39205,39781,40737,41714
Orinda city,17751,17816,18128,18351,18699,18998,19267,19536,19730
Pinole city,18330,18381,18541,18728,18913,19094,19257,19353,19364
Pittsburg city,63259,63535,64592,65618,66762,68103,69363,70900,72141
Pleasant Hill city,33102,33189,33469,33808,34147,34476,34776,34954,34987
Richmond city,103267,103668,104964,106182,107276,108130,109221,109802,110040
San Pablo city,29512,29485,29544,29845,30140,30430,30784,31061,31156
San Ramon city,71423,71614,72236,72967,73701,74484,75260,75810,75931
Walnut Creek city,64165,64338,64880,65630,66933,67635,68853,69332,69773
Balance of Contra Costa County,160158,160779,163656,165736,168789,171513,173989,176434,178274
Del Norte County,28610,28566,28447,28203,27830,27206,27253,27450,27470
Crescent City city,7640,7596,7517,7389,7166,6783,6775,6649,6399
Balance of Del Norte County,20970,20970,20930,20814,20664,20423,20478,20801,21071
El Dorado County,181058,181149,180975,180680,181618,183333,184865,186272,188987
Placerville city,10389,10378,10339,10353,10472,10586,10679,10723,10936
South Lake Tahoe city,21402,21417,21385,21307,21379,21542,21758,21797,21978
Balance of El Dorado County,149267,149354,149251,149020,149767,151205,152428,153752,156073
Fresno County,930495,932218,940360,946851,953787,963170,972333,979534,989255
Clovis city,95834,96261,97515,98640,99735,102056,104014,106550,109691
Coalinga city,18079,18070,18046,16804,16733,16410,16522,16591,16766
Firebaugh city,7558,7598,7768,7906,8073,8279,8297,8310,8328
Fowler city,5633,5645,5906,5920,5931,6023,6240,6349,6495
Fresno city,497069,497772,501851,506293,510009,515416,519650,522792,527438
Huron city,6745,6753,6753,6763,6781,6794,6818,6939,7311
Kerman city,13567,13637,13892,14314,14338,14373,14463,14586,14932
Kingsburg city,11397,11409,11511,11602,11669,11703,11775,11804,12002
Mendota city,11148,11176,11354,11382,11381,11378,11406,11418,11438
Orange Cove city,9072,9081,9524,9546,9552,9547,9577,9587,9604
Parlier city,14508,14529,14630,14726,14827,14941,15095,15164,15250
Reedley city,24228,24341,24712,24817,24981,25385,25536,25569,25620
Sanger city,24258,24299,24466,24549,24632,24724,24870,25007,25161
San Joaquin city,3994,3996,4002,4009,4015,4015,4025,4031,4043
Selma city,23365,23450,23580,23919,24305,24379,24497,24739,24782
Balance of Fresno County,164040,164201,164850,165661,166825,167747,169548,170098,170394
Glenn County,28122,28130,28160,27894,27866,27909,27841,27967,28094
Orland city,7331,7373,7447,7398,7446,7497,7499,7544,7656
Willows city,6166,6152,6146,6093,6079,6082,6032,6047,6041
Balance of Glenn County,14625,14605,14567,14403,14341,14330,14310,14376,14397
Humboldt County,134623,135019,135239,134596,134444,134584,135219,136449,136754
Arcata city,17231,17500,17728,17697,17687,17703,17783,17943,18000
Blue Lake city,1253,1254,1245,1241,1241,1239,1249,1267,1265
Eureka city,27196,27201,27159,26933,26900,26892,26924,27185,27177
Ferndale city,1371,1372,1377,1365,1360,1362,1363,1371,1373
Fortuna city,11926,11935,11915,11817,11783,11870,11956,12100,12191
Rio Dell city,3368,3372,3394,3367,3367,3368,3374,3405,3408
Trinidad city,367,367,366,361,359,357,356,359,360
Balance of Humboldt County,71911,72018,72055,71815,71747,71793,72214,72819,72980
Imperial County,174528,174778,176157,177241,177267,178868,179839,180980,182830
Brawley city,24963,25034,25272,25561,25632,25785,25854,26163,26390
Calexico city,38573,38674,39014,39303,39489,39757,39971,40210,40351
Calipatria city,7694,7690,7689,7995,7099,7505,7409,7517,7558
El Centro city,42583,42688,43060,43180,43509,43699,43851,44191,44364
Holtville city,5936,5952,6004,6020,6039,6276,6384,6439,6597
Imperial city,14733,14841,15223,15618,16189,16767,17027,17165,17550
Westmorland city,2230,2235,2258,2264,2267,2272,2269,2277,2284
Balance of Imperial County,37816,37664,37637,37300,37043,36807,37074,37018,37736
Inyo County,18546,18517,18401,18370,18377,18340,18197,18034,18026
Bishop city,3879,3872,3848,3842,3838,3828,3796,3757,3760
Balance of Inyo County,14667,14645,14553,14528,14539,14512,14401,14277,14266
Kern County,839621,841116,848767,855237,864014,871895,879607,885086,893119
Arvin city,19304,19349,19697,20099,20310,20564,20828,21104,21270
Bakersfield city,348119,349322,353836,358317,363998,368461,373253,376944,380874
California City city,14120,13468,12846,13369,13234,13246,13257,13721,13972
Delano city,53041,53133,53660,52481,52427,52572,52660,52752,53138
McFarland city,12707,12725,12796,12382,12459,13617,13995,14546,15093
Maricopa city,1154,1155,1164,1172,1181,1187,1190,1191,1197
Ridgecrest city,27616,27689,27931,28333,28638,28680,28735,28735,28880
Shafter city,17112,17173,17467,17233,17325,17677,18446,19086,19608
Taft city,9288,9285,9290,8933,8939,8906,9489,9385,9425
Tehachapi city,14420,14368,14342,13841,13313,13259,13045,12518,12630
Wasco city,25552,25689,25864,25510,25960,26264,26246,26418,26994
Balance of Kern County,297188,297760,299874,303567,306230,307462,308463,308686,310038
Kings County,152982,152404,152030,151265,150675,149862,150482,149797,150101
Avenal city,15505,15281,15104,14871,14159,13283,13265,12468,12440
Corcoran city,24807,24453,24127,23694,23359,22841,22530,22730,21835
Hanford city,54371,54409,54610,54571,54811,55169,55703,55768,56499
Lemoore city,24531,24539,24496,24664,24888,25076,25529,25747,26355
Balance of Kings County,33768,33722,33693,33465,33458,33493,33455,33084,32972
Lake County,64665,64742,64273,64005,63855,64113,64310,63950,64246
Clearlake city,15250,15268,15145,15080,15030,15072,15118,15037,15066
Lakeport city,4753,4756,4717,4687,4759,4771,4786,4754,4762
Balance of Lake County,44662,44718,44411,44238,44066,44270,44406,44159,44418
Lassen County,34895,34831,34244,33632,32135,31716,31393,30944,31163
Susanville city,17943,17724,17270,16603,15518,15525,15256,14863,15326
Balance of Lassen County,16952,17107,16974,17029,16617,16191,16137,16081,15837
Los Angeles County,9818696,9824490,9885998,9956152,10018604,10072695,10123248,10150558,10163507
Agoura Hills city,20330,20335,20492,20585,20643,20713,20819,20755,20692
Alhambra city,83117,83180,83685,84309,84570,85074,85173,85615,85396
Arcadia city,56359,56392,56713,56985,57433,57768,58121,58570,58799
Artesia city,16522,16523,16589,16667,16724,16808,16895,16895,16904
Avalon city,3728,3729,3746,3762,3772,3781,3783,3774,3764
Azusa city,46346,46318,46543,47228,47784,48488,49460,49673,49864
Baldwin Park city,75397,75441,75834,76351,76573,76639,76726,76566,76402
Bell city,35473,35494,35684,35843,35951,36000,36033,35921,35811
Bellflower city,76610,76630,77006,77359,77601,77778,78081,77918,77772
Bell Gardens city,42053,42067,42257,42724,42825,42861,42912,42872,42747
Beverly Hills city,33951,33976,34145,34362,34435,34513,34553,34592,34484
Bradbury city,1048,1048,1058,1066,1077,1078,1084,1081,1093
Burbank city,103375,103396,103864,104331,104666,104785,104908,104599,104834
Calabasas city,23462,23470,23769,23882,24111,24145,24204,24186,24202
Carson city,91714,91626,91792,92365,92787,92994,93104,92986,92735
Cerritos city,49047,49059,49282,49500,49647,49705,49745,50591,51020
Claremont city,34870,34900,35217,35341,35727,35814,36076,36022,36015
Commerce city,12846,12849,12907,12964,13003,13015,13021,12988,12947
Compton city,96418,96481,97047,97576,97875,97966,98012,97710,97612
Covina city,47792,47804,48022,48322,48484,48705,48756,48611,48462
Cudahy city,23809,23815,23928,24038,24113,24150,24203,24147,24076
Culver City city,38917,38920,39089,39321,39444,39486,39547,39436,39283
Diamond Bar city,55552,55584,55900,56198,56374,56458,56634,56827,56665
Downey city,111770,111807,112335,112829,113165,113469,113693,113402,113092
Duarte city,21325,21353,21449,21650,21706,21883,21897,21828,21757
El Monte city,113484,113659,114174,115044,115663,115947,116191,115983,116109
El Segundo city,16654,16658,16736,16832,16900,16956,16956,16911,16853
Gardena city,58829,58850,59181,59500,59949,60041,60172,60138,60224
Glendale city,191670,191748,192850,194275,195841,198896,199968,201039,203054
Glendora city,50395,50517,50808,51039,51392,51365,52102,52250,52445
Hawaiian Gardens city,14275,14282,14347,14411,14461,14482,14521,14492,14450
Hawthorne city,84293,84319,85020,85555,86106,87046,88025,88104,87854
Hermosa Beach city,19506,19509,19590,19682,19727,19725,19764,19811,19708
Hidden Hills city,1856,1856,1871,1882,1897,1902,1915,1925,1921
Huntington Park city,58118,58132,58392,58650,58897,59106,59161,58962,58822
Industry city,217,214,206,204,208,208,205,208,204
Inglewood city,109673,109710,110647,111139,111288,111246,111154,110800,110598
Irwindale city,1418,1418,1418,1416,1417,1422,1427,1434,1461
La Cañada Flintridge city,20248,20256,20362,20455,20519,20514,20501,20484,20413
La Habra Heights city,5316,5323,5356,5393,5409,5416,5426,5413,5403
Lakewood city,80054,80068,80470,80823,81075,81173,81238,81235,80967
La Mirada city,48523,48543,48750,48948,49084,49170,49303,49257,49095
Lancaster city,156643,156854,158230,158576,159457,160128,160378,160289,160316
La Puente city,39827,39849,40071,40253,40414,40502,40568,40437,40322
La Verne city,31121,31136,31291,31441,31766,32368,32585,32508,32461
Lawndale city,32769,32783,32942,33093,33201,33256,33289,33186,33078
Lomita city,20259,20271,20389,20539,20658,20694,20746,20727,20707
Long Beach city,462235,462559,465032,467929,469297,470713,471967,470852,469450
Los Angeles city,3792724,3796060,3824592,3859267,3891783,3922668,3953459,3981116,3999759
Lynwood city,69766,69615,69734,70728,71340,71427,71668,71294,71099
Malibu city,12635,12644,12704,12776,12838,12875,12905,12901,12877
Manhattan Beach city,35135,35134,35275,35429,35527,35585,35647,35777,35924
Maywood city,27395,27402,27518,27619,27705,27737,27759,27677,27586
Monrovia city,36590,36599,36775,36932,37085,37184,37290,37181,37061
Montebello city,62490,62508,62975,63264,63454,63537,63626,63415,63192
Monterey Park city,60228,60237,60531,60786,60969,61042,61152,61117,61044
Norwalk city,105549,105570,106011,106210,106410,106540,106644,106314,106084
Palmdale city,152755,152999,154186,155228,156947,157326,157619,157472,157519
Palos Verdes Estates city,13438,13439,13495,13539,13579,13595,13609,13598,13544
Paramount city,54098,54119,54386,54693,54996,55085,55163,55004,54909
Pasadena city,137139,137170,137826,138428,139699,140027,141601,142279,142647
Pico Rivera city,62948,62967,63285,63567,63768,63853,63923,63732,63522
Pomona city,149030,149096,149788,150656,151276,152405,152561,152697,152939
Rancho Palos Verdes city,41660,41675,42046,42269,42414,42486,42540,42470,42364
Redondo Beach city,66921,66940,67255,67578,67804,67892,68023,68109,67908
Rolling Hills city,1860,1860,1869,1882,1891,1890,1889,1889,1882
Rolling Hills Estates city,8060,8065,8107,8163,8206,8221,8243,8241,8226
Rosemead city,53771,53809,54082,54337,54549,54616,54655,54584,54554
San Dimas city,33375,33386,33543,33710,33836,34434,34471,34384,34326
San Fernando city,23646,23656,23774,23834,24162,24485,24812,24750,24714
San Gabriel city,39647,39661,39857,40037,40150,40193,40250,40470,40514
San Marino city,13107,13110,13173,13228,13278,13315,13367,13356,13327
Santa Clarita city,204186,204299,205557,206703,207600,208740,209848,210349,210888
Santa Fe Springs city,16221,16262,16514,16751,17030,17417,17936,18039,17980
Santa Monica city,89742,89782,90578,91532,92305,92404,92787,92603,92306
Sierra Madre city,10917,10920,10972,11020,11059,11094,11112,11074,11038
Signal Hill city,11016,11019,11069,11165,11317,11457,11509,11657,11622
South El Monte city,20116,20125,20230,20323,20409,20429,20778,20917,20987
South Gate city,94417,94463,94702,94797,94941,95072,95983,95692,95430
South Pasadena city,25627,25636,25752,25879,25967,26009,26038,25967,25888
Temple City city,35550,35561,35757,35934,36003,36039,36194,36412,36367
Torrance city,145259,145300,146038,146693,147185,147450,147630,147187,146758
Vernon city,112,112,113,113,113,113,114,113,113
Walnut city,29177,29211,29504,29910,30003,30044,30106,30061,30199
West Covina city,106113,106156,106843,107329,107653,107824,107969,107935,107598
West Hollywood city,34398,34415,34587,34756,35246,35646,36047,36735,37080
Westlake Village city,8303,8307,8357,8420,8466,8479,8490,8464,8440
Whittier city,85313,85339,85723,86157,86561,86774,87040,86989,86838
Balance of Los Angeles County,1029048,1029151,1034429,1041873,1047964,1052934,1055789,1056527,1054111
Madera County,150843,151037,151876,151900,151819,154103,154423,154966,156890
Chowchilla city,18782,18718,18905,18081,17390,18895,18453,18251,18558
Madera city,61416,61524,61893,62442,62846,63416,63969,64545,65508
Balance of Madera County,70645,70795,71078,71377,71583,71792,72001,72170,72824
Marin County,252419,252940,255505,256381,258856,261007,261718,261532,260955
Belvedere city,2071,2073,2093,2109,2125,2140,2135,2131,2126
Corte Madera town,9262,9272,9352,9396,9483,9931,9927,9899,9864
Fairfax town,7439,7447,7511,7551,7618,7646,7644,7626,7598
Larkspur city,11929,11943,12050,12113,12228,12341,12444,12430,12396
Mill Valley city,13905,13924,14072,14178,14333,14415,14422,14405,14355
Novato city,51872,51982,52712,53296,54242,55002,55592,56139,55980
Ross town,2426,2429,2449,2460,2483,2496,2495,2489,2480
San Anselmo town,12305,12318,12421,12485,12607,12651,12646,12618,12580
San Rafael city,57694,57803,58261,58522,59096,59275,59252,59131,59070
Sausalito city,6952,6959,7021,7056,7127,7177,7179,7162,7141
Tiburon town,8947,8959,9038,9085,9178,9216,9215,9191,9165
Balance of Marin County,67617,67831,68525,68130,68336,68717,68767,68311,68200
